# date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2019 May 27",2458630.8239,"UVW2", -19.31, 17.43,0.06, 21.13,"Swift+UVOT","None","Suvi Gezari","None",False,True
"2019 May 29",2458632.7027,"g", -18.68, 18.06,0.02, 22.76,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 29",2458632.7038,"r", -18.54, 18.20,0.02, 22.13,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 29",2458632.7048,"i", -18.56, 18.18,0.03, 22.57,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 29",2458632.7059,"z", -18.61, 18.13,0.02, 22.82,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 30",2458634.0200,"UVW2", -19.40, 17.34,0.07, 20.65,"Swift+UVOT","None","None","None",False,True
"2019 May 31",2458634.9227,"r", -18.55, 18.20,0.05, 20.85,"P48+ZTF","1","None","None",True,True
"2019 May 31",2458634.9612,"g", -18.67, 18.07,0.07, 20.87,"P48+ZTF","1","None","None",True,True
"2019 May 31",2458634.9785,"g", -18.70, 18.04,0.06, 20.28,"P48+ZTF","1","None","None",True,True
"2019 Jun 02",2458636.5979,"UVW2", -19.25, 17.49,0.06, 21.34,"Swift+UVOT","None","Suvi Gezari","None",False,True
"2019 Jun 03",2458637.9227,"r", -18.60, 18.14,0.05, 20.94,"P48+ZTF","1","None","None",True,True
"2019 Jun 03",2458637.9617,"g", -18.62, 18.12,0.06, 21.05,"P48+ZTF","1","None","None",True,True
"2019 Jun 05",2458640.3239,"UVW2", -19.20, 17.54,0.05, 21.59,"Swift+UVOT","None","Suvi Gezari","None",False,True
"2019 Jun 06",2458640.9458,"g", -18.56, 18.19,0.07, 20.86,"P48+ZTF","1","None","None",True,True
"2019 Jun 06",2458640.9632,"r", -18.50, 18.25,0.07, 20.88,"P48+ZTF","1","None","None",True,True
"2019 Jun 08",2458642.9019,"UVW2", -19.16, 17.58,0.05, 21.52,"Swift+UVOT","None","Suvi Gezari","None",False,True
"2019 Jun 10",2458644.9614,"r", -18.44, 18.30,0.06, 20.61,"P48+ZTF","1","None","None",True,True
"2019 Jun 11",2458645.8239,"UVW2", -19.13, 17.61,0.06, 21.26,"Swift+UVOT","48","Suvi Gezari","None",False,True
"2019 Jun 13",2458647.9646,"g", -18.60, 18.14,0.09, 20.32,"P48+ZTF","1","None","None",True,True
"2019 Jun 14",2458649.2929,"UVW2", -19.03, 17.71,0.06, 21.22,"Swift+UVOT","48","Suvi Gezari","None",False,True
"2019 Jun 16",2458650.9221,"r", -18.39, 18.35,0.10, 19.91,"P48+ZTF","1","None","None",True,True
"2019 Jun 16",2458650.9597,"g", -18.36, 18.38,0.10, 19.74,"P48+ZTF","1","None","None",True,True
"2019 Jun 19",2458653.6693,"g", -18.36, 18.38,0.03, 21.00,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Jun 19",2458653.6704,"r", -18.16, 18.58,0.03, 20.88,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Jun 19",2458653.6729,"i", -18.27, 18.48,0.02, 21.95,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Jun 19",2458653.6739,"z", -18.33, 18.41,0.04, 21.25,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Jun 19",2458653.8957,"g", -18.28, 18.46,0.10, 19.48,"P48+ZTF","1","None","None",True,True
"2019 Jun 19",2458653.9190,"r", -18.34, 18.40,0.09, 19.72,"P48+ZTF","1","None","None",True,True
"2019 Jun 19",2458654.0779,"UVW2", -18.94, 17.80,0.07, 20.88,"Swift+UVOT","48","Suvi Gezari","None",False,True
